{'loss': '0.6068', 'grad_norm': '5.74', 'learning_rate': '4.979e-05', 'rewards/chosen': '-0.5686', 'rewards/rejected': '-0.7964', 'rewards/accuracies': '0.6844', 'rewards/margins': '0.2278', 'logps/chosen': '-18.38', 'logps/rejected': '-20.99', 'logits/chosen': '-95.38', 'logits/rejected': '-94.87', 'epoch': '0.004751'}
{'loss': '0.143', 'grad_norm': '2.927', 'learning_rate': '3.126e-05', 'rewards/chosen': '-0.347', 'rewards/rejected': '-4.078', 'rewards/accuracies': '0.9344', 'rewards/margins': '3.731', 'logps/chosen': '-16.2', 'logps/rejected': '-53.84', 'logits/chosen': '-112.3', 'logits/rejected': '-104.7', 'epoch': '0.3753'}
{'loss': '0.1318', 'grad_norm': '4.144', 'learning_rate': '3.102e-05', 'rewards/chosen': '-0.1071', 'rewards/rejected': '-4.628', 'rewards/accuracies': '0.95', 'rewards/margins': '4.521', 'logps/chosen': '-13.76', 'logps/rejected': '-59.22', 'logits/chosen': '-114.4', 'logits/rejected': '-105.9', 'epoch': '0.38'}
{'loss': '0.1979', 'grad_norm': '4.196', 'learning_rate': '3.078e-05', 'rewards/chosen': '-0.04967', 'rewards/rejected': '-4.876', 'rewards/accuracies': '0.9219', 'rewards/margins': '4.826', 'logps/chosen': '-13.17', 'logps/rejected': '-61.74', 'logits/chosen': '-114.2', 'logits/rejected': '-106', 'epoch': '0.3848'}
{'loss': '0.1843', 'grad_norm': '1.828', 'learning_rate': '3.055e-05', 'rewards/chosen': '-0.1547', 'rewards/rejected': '-4.435', 'rewards/accuracies': '0.9344', 'rewards/margins': '4.281', 'logps/chosen': '-14.21', 'logps/rejected': '-57.28', 'logits/chosen': '-115.4', 'logits/rejected': '-106.1', 'epoch': '0.3895'}
{'loss': '0.192', 'grad_norm': '1.453', 'learning_rate': '3.031e-05', 'rewards/chosen': '-0.2528', 'rewards/rejected': '-4.027', 'rewards/accuracies': '0.9375', 'rewards/margins': '3.774', 'logps/chosen': '-15.17', 'logps/rejected': '-53.19', 'logits/chosen': '-114.3', 'logits/rejected': '-106.1', 'epoch': '0.3943'}
{'loss': '0.1676', 'grad_norm': '6.036', 'learning_rate': '3.007e-05', 'rewards/chosen': '-0.2602', 'rewards/rejected': '-4.086', 'rewards/accuracies': '0.9406', 'rewards/margins': '3.826', 'logps/chosen': '-15.34', 'logps/rejected': '-53.87', 'logits/chosen': '-114.7', 'logits/rejected': '-106', 'epoch': '0.399'}
{'loss': '0.1698', 'grad_norm': '4.219', 'learning_rate': '2.983e-05', 'rewards/chosen': '-0.05559', 'rewards/rejected': '-4.413', 'rewards/accuracies': '0.9469', 'rewards/margins': '4.357', 'logps/chosen': '-13.2', 'logps/rejected': '-57.13', 'logits/chosen': '-113.8', 'logits/rejected': '-104.7', 'epoch': '0.4038'}
{'loss': '0.144', 'grad_norm': '7.345', 'learning_rate': '2.96e-05', 'rewards/chosen': '0.007864', 'rewards/rejected': '-4.466', 'rewards/accuracies': '0.9406', 'rewards/margins': '4.474', 'logps/chosen': '-12.58', 'logps/rejected': '-57.64', 'logits/chosen': '-113.7', 'logits/rejected': '-104.9', 'epoch': '0.4086'}
{'loss': '0.2178', 'grad_norm': '6.149', 'learning_rate': '2.936e-05', 'rewards/chosen': '-0.08719', 'rewards/rejected': '-4.474', 'rewards/accuracies': '0.9281', 'rewards/margins': '4.386', 'logps/chosen': '-13.54', 'logps/rejected': '-57.64', 'logits/chosen': '-113.8', 'logits/rejected': '-105.2', 'epoch': '0.4133'}
{'loss': '0.1696', 'grad_norm': '1.92', 'learning_rate': '2.912e-05', 'rewards/chosen': '-0.148', 'rewards/rejected': '-3.822', 'rewards/accuracies': '0.9344', 'rewards/margins': '3.674', 'logps/chosen': '-14.08', 'logps/rejected': '-51.14', 'logits/chosen': '-114.8', 'logits/rejected': '-107.5', 'epoch': '0.4181'}
{'loss': '0.1787', 'grad_norm': '5.588', 'learning_rate': '2.888e-05', 'rewards/chosen': '-0.2423', 'rewards/rejected': '-3.48', 'rewards/accuracies': '0.925', 'rewards/margins': '3.237', 'logps/chosen': '-15.2', 'logps/rejected': '-47.86', 'logits/chosen': '-115.2', 'logits/rejected': '-107.2', 'epoch': '0.4228'}
{'loss': '0.1953', 'grad_norm': '2.582', 'learning_rate': '2.865e-05', 'rewards/chosen': '-0.2209', 'rewards/rejected': '-3.587', 'rewards/accuracies': '0.9125', 'rewards/margins': '3.367', 'logps/chosen': '-14.95', 'logps/rejected': '-48.85', 'logits/chosen': '-115.5', 'logits/rejected': '-107.8', 'epoch': '0.4276'}
{'loss': '0.2472', 'grad_norm': '3.75', 'learning_rate': '2.841e-05', 'rewards/chosen': '-0.3282', 'rewards/rejected': '-3.652', 'rewards/accuracies': '0.9156', 'rewards/margins': '3.324', 'logps/chosen': '-15.86', 'logps/rejected': '-49.39', 'logits/chosen': '-114.7', 'logits/rejected': '-107.8', 'epoch': '0.4323'}
{'loss': '0.2221', 'grad_norm': '2.566', 'learning_rate': '2.817e-05', 'rewards/chosen': '-0.33', 'rewards/rejected': '-3.661', 'rewards/accuracies': '0.9094', 'rewards/margins': '3.331', 'logps/chosen': '-15.95', 'logps/rejected': '-49.6', 'logits/chosen': '-112.5', 'logits/rejected': '-105.5', 'epoch': '0.4371'}
{'loss': '0.1448', 'grad_norm': '1.15', 'learning_rate': '2.793e-05', 'rewards/chosen': '-0.2815', 'rewards/rejected': '-3.916', 'rewards/accuracies': '0.9469', 'rewards/margins': '3.634', 'logps/chosen': '-15.43', 'logps/rejected': '-52.07', 'logits/chosen': '-112.2', 'logits/rejected': '-103.8', 'epoch': '0.4418'}
{'loss': '0.1558', 'grad_norm': '1.435', 'learning_rate': '2.77e-05', 'rewards/chosen': '-0.2723', 'rewards/rejected': '-4.024', 'rewards/accuracies': '0.9406', 'rewards/margins': '3.751', 'logps/chosen': '-15.35', 'logps/rejected': '-53.14', 'logits/chosen': '-112.2', 'logits/rejected': '-104', 'epoch': '0.4466'}
{'loss': '0.1595', 'grad_norm': '1.038', 'learning_rate': '2.746e-05', 'rewards/chosen': '-0.2065', 'rewards/rejected': '-4.303', 'rewards/accuracies': '0.9375', 'rewards/margins': '4.097', 'logps/chosen': '-14.82', 'logps/rejected': '-56.02', 'logits/chosen': '-114.2', 'logits/rejected': '-104.8', 'epoch': '0.4513'}
{'loss': '0.1873', 'grad_norm': '2.936', 'learning_rate': '2.722e-05', 'rewards/chosen': '-0.2084', 'rewards/rejected': '-4.577', 'rewards/accuracies': '0.9156', 'rewards/margins': '4.369', 'logps/chosen': '-14.79', 'logps/rejected': '-58.77', 'logits/chosen': '-114.5', 'logits/rejected': '-104.3', 'epoch': '0.4561'}
{'loss': '0.1733', 'grad_norm': '2.588', 'learning_rate': '2.698e-05', 'rewards/chosen': '-0.2391', 'rewards/rejected': '-4.368', 'rewards/accuracies': '0.9344', 'rewards/margins': '4.129', 'logps/chosen': '-15.02', 'logps/rejected': '-56.61', 'logits/chosen': '-113.6', 'logits/rejected': '-104.9', 'epoch': '0.4608'}
{'loss': '0.1889', 'grad_norm': '1.633', 'learning_rate': '2.675e-05', 'rewards/chosen': '-0.1738', 'rewards/rejected': '-4.529', 'rewards/accuracies': '0.9438', 'rewards/margins': '4.355', 'logps/chosen': '-14.36', 'logps/rejected': '-58.26', 'logits/chosen': '-112.1', 'logits/rejected': '-102.1', 'epoch': '0.4656'}
{'loss': '0.1734', 'grad_norm': '3.602', 'learning_rate': '2.651e-05', 'rewards/chosen': '-0.2066', 'rewards/rejected': '-4.392', 'rewards/accuracies': '0.9438', 'rewards/margins': '4.185', 'logps/chosen': '-14.62', 'logps/rejected': '-56.8', 'logits/chosen': '-111.9', 'logits/rejected': '-102.6', 'epoch': '0.4703'}
{'loss': '0.1211', 'grad_norm': '3.106', 'learning_rate': '2.627e-05', 'rewards/chosen': '-0.08223', 'rewards/rejected': '-4.329', 'rewards/accuracies': '0.9625', 'rewards/margins': '4.247', 'logps/chosen': '-13.49', 'logps/rejected': '-56.28', 'logits/chosen': '-111.1', 'logits/rejected': '-102.5', 'epoch': '0.4751'}
{'loss': '0.2282', 'grad_norm': '3.236', 'learning_rate': '2.603e-05', 'rewards/chosen': '-0.1089', 'rewards/rejected': '-4.309', 'rewards/accuracies': '0.925', 'rewards/margins': '4.201', 'logps/chosen': '-13.6', 'logps/rejected': '-55.9', 'logits/chosen': '-109.5', 'logits/rejected': '-100.9', 'epoch': '0.4798'}
{'loss': '0.1811', 'grad_norm': '1.918', 'learning_rate': '2.58e-05', 'rewards/chosen': '-0.0798', 'rewards/rejected': '-3.787', 'rewards/accuracies': '0.9438', 'rewards/margins': '3.708', 'logps/chosen': '-13.41', 'logps/rejected': '-50.76', 'logits/chosen': '-109.9', 'logits/rejected': '-102.6', 'epoch': '0.4846'}
{'loss': '0.1817', 'grad_norm': '1.136', 'learning_rate': '2.556e-05', 'rewards/chosen': '-0.03563', 'rewards/rejected': '-3.477', 'rewards/accuracies': '0.9375', 'rewards/margins': '3.441', 'logps/chosen': '-12.96', 'logps/rejected': '-47.66', 'logits/chosen': '-108.5', 'logits/rejected': '-103.8', 'epoch': '0.4893'}
{'loss': '0.159', 'grad_norm': '2.393', 'learning_rate': '2.532e-05', 'rewards/chosen': '0.06829', 'rewards/rejected': '-3.936', 'rewards/accuracies': '0.9469', 'rewards/margins': '4.004', 'logps/chosen': '-11.95', 'logps/rejected': '-52.26', 'logits/chosen': '-107.7', 'logits/rejected': '-101.2', 'epoch': '0.4941'}
{'loss': '0.1966', 'grad_norm': '3.349', 'learning_rate': '2.508e-05', 'rewards/chosen': '0.04711', 'rewards/rejected': '-3.811', 'rewards/accuracies': '0.9344', 'rewards/margins': '3.858', 'logps/chosen': '-12.36', 'logps/rejected': '-51.2', 'logits/chosen': '-106.5', 'logits/rejected': '-100', 'epoch': '0.4988'}
{'loss': '0.1549', 'grad_norm': '1.328', 'learning_rate': '2.485e-05', 'rewards/chosen': '0.08623', 'rewards/rejected': '-4.061', 'rewards/accuracies': '0.9469', 'rewards/margins': '4.147', 'logps/chosen': '-11.75', 'logps/rejected': '-53.52', 'logits/chosen': '-106.6', 'logits/rejected': '-99.3', 'epoch': '0.5036'}
{'loss': '0.1837', 'grad_norm': '3.126', 'learning_rate': '2.461e-05', 'rewards/chosen': '-0.04052', 'rewards/rejected': '-4.166', 'rewards/accuracies': '0.9312', 'rewards/margins': '4.126', 'logps/chosen': '-13.15', 'logps/rejected': '-54.64', 'logits/chosen': '-105.4', 'logits/rejected': '-96.12', 'epoch': '0.5083'}
{'loss': '0.1966', 'grad_norm': '2.55', 'learning_rate': '2.437e-05', 'rewards/chosen': '-0.06489', 'rewards/rejected': '-3.896', 'rewards/accuracies': '0.9375', 'rewards/margins': '3.831', 'logps/chosen': '-13.29', 'logps/rejected': '-51.85', 'logits/chosen': '-105.7', 'logits/rejected': '-98.35', 'epoch': '0.5131'}
{'loss': '0.1435', 'grad_norm': '0.7621', 'learning_rate': '2.413e-05', 'rewards/chosen': '-0.09677', 'rewards/rejected': '-3.822', 'rewards/accuracies': '0.9406', 'rewards/margins': '3.725', 'logps/chosen': '-13.72', 'logps/rejected': '-51.22', 'logits/chosen': '-105.8', 'logits/rejected': '-97.65', 'epoch': '0.5178'}
{'loss': '0.158', 'grad_norm': '1.616', 'learning_rate': '2.39e-05', 'rewards/chosen': '-0.1411', 'rewards/rejected': '-3.79', 'rewards/accuracies': '0.9375', 'rewards/margins': '3.649', 'logps/chosen': '-14.07', 'logps/rejected': '-50.83', 'logits/chosen': '-106.5', 'logits/rejected': '-99', 'epoch': '0.5226'}
{'loss': '0.1643', 'grad_norm': '1.338', 'learning_rate': '2.366e-05', 'rewards/chosen': '-0.1364', 'rewards/rejected': '-4.176', 'rewards/accuracies': '0.9438', 'rewards/margins': '4.039', 'logps/chosen': '-14.24', 'logps/rejected': '-54.91', 'logits/chosen': '-108.4', 'logits/rejected': '-97.76', 'epoch': '0.5273'}
{'loss': '0.1716', 'grad_norm': '3.873', 'learning_rate': '2.342e-05', 'rewards/chosen': '-0.08734', 'rewards/rejected': '-4.407', 'rewards/accuracies': '0.9438', 'rewards/margins': '4.32', 'logps/chosen': '-13.51', 'logps/rejected': '-57', 'logits/chosen': '-106.8', 'logits/rejected': '-95.48', 'epoch': '0.5321'}
{'loss': '0.135', 'grad_norm': '4.713', 'learning_rate': '2.318e-05', 'rewards/chosen': '-0.1026', 'rewards/rejected': '-4.349', 'rewards/accuracies': '0.9625', 'rewards/margins': '4.246', 'logps/chosen': '-13.77', 'logps/rejected': '-56.54', 'logits/chosen': '-105', 'logits/rejected': '-93.5', 'epoch': '0.5368'}
{'loss': '0.1971', 'grad_norm': '1.984', 'learning_rate': '2.295e-05', 'rewards/chosen': '-0.1005', 'rewards/rejected': '-4.488', 'rewards/accuracies': '0.925', 'rewards/margins': '4.387', 'logps/chosen': '-13.74', 'logps/rejected': '-57.88', 'logits/chosen': '-105.4', 'logits/rejected': '-93.14', 'epoch': '0.5416'}
{'loss': '0.1269', 'grad_norm': '2.059', 'learning_rate': '2.271e-05', 'rewards/chosen': '-0.1299', 'rewards/rejected': '-4.282', 'rewards/accuracies': '0.9625', 'rewards/margins': '4.152', 'logps/chosen': '-14.01', 'logps/rejected': '-55.84', 'logits/chosen': '-106.2', 'logits/rejected': '-95.5', 'epoch': '0.5463'}
{'loss': '0.1373', 'grad_norm': '1.883', 'learning_rate': '2.247e-05', 'rewards/chosen': '-0.207', 'rewards/rejected': '-4.122', 'rewards/accuracies': '0.9469', 'rewards/margins': '3.915', 'logps/chosen': '-14.87', 'logps/rejected': '-54.3', 'logits/chosen': '-105', 'logits/rejected': '-94.69', 'epoch': '0.5511'}
{'loss': '0.1848', 'grad_norm': '1.854', 'learning_rate': '2.223e-05', 'rewards/chosen': '-0.2509', 'rewards/rejected': '-4.213', 'rewards/accuracies': '0.9344', 'rewards/margins': '3.962', 'logps/chosen': '-15.27', 'logps/rejected': '-55.21', 'logits/chosen': '-104.7', 'logits/rejected': '-94.75', 'epoch': '0.5558'}
{'loss': '0.1941', 'grad_norm': '2.391', 'learning_rate': '2.2e-05', 'rewards/chosen': '-0.3661', 'rewards/rejected': '-3.959', 'rewards/accuracies': '0.9344', 'rewards/margins': '3.593', 'logps/chosen': '-16.24', 'logps/rejected': '-52.46', 'logits/chosen': '-106.2', 'logits/rejected': '-96.28', 'epoch': '0.5606'}
{'loss': '0.1549', 'grad_norm': '3.222', 'learning_rate': '2.176e-05', 'rewards/chosen': '-0.2789', 'rewards/rejected': '-3.939', 'rewards/accuracies': '0.9438', 'rewards/margins': '3.66', 'logps/chosen': '-15.45', 'logps/rejected': '-52.37', 'logits/chosen': '-104.3', 'logits/rejected': '-95.5', 'epoch': '0.5653'}
{'loss': '0.1407', 'grad_norm': '2.752', 'learning_rate': '2.152e-05', 'rewards/chosen': '-0.2276', 'rewards/rejected': '-4.035', 'rewards/accuracies': '0.9469', 'rewards/margins': '3.807', 'logps/chosen': '-14.89', 'logps/rejected': '-53.23', 'logits/chosen': '-105.2', 'logits/rejected': '-96.07', 'epoch': '0.5701'}
{'loss': '0.1619', 'grad_norm': '1.694', 'learning_rate': '2.128e-05', 'rewards/chosen': '-0.07179', 'rewards/rejected': '-4.351', 'rewards/accuracies': '0.9469', 'rewards/margins': '4.279', 'logps/chosen': '-13.41', 'logps/rejected': '-56.5', 'logits/chosen': '-104.9', 'logits/rejected': '-95.41', 'epoch': '0.5748'}
{'loss': '0.1037', 'grad_norm': '1.341', 'learning_rate': '2.105e-05', 'rewards/chosen': '0.07007', 'rewards/rejected': '-4.544', 'rewards/accuracies': '0.9656', 'rewards/margins': '4.614', 'logps/chosen': '-11.92', 'logps/rejected': '-58.37', 'logits/chosen': '-105.8', 'logits/rejected': '-96.07', 'epoch': '0.5796'}
{'loss': '0.1869', 'grad_norm': '3.63', 'learning_rate': '2.081e-05', 'rewards/chosen': '-0.004606', 'rewards/rejected': '-4.527', 'rewards/accuracies': '0.9344', 'rewards/margins': '4.523', 'logps/chosen': '-12.7', 'logps/rejected': '-58.16', 'logits/chosen': '-107', 'logits/rejected': '-96.57', 'epoch': '0.5843'}
{'loss': '0.1931', 'grad_norm': '3.343', 'learning_rate': '2.057e-05', 'rewards/chosen': '-0.04761', 'rewards/rejected': '-4.366', 'rewards/accuracies': '0.9312', 'rewards/margins': '4.318', 'logps/chosen': '-13.04', 'logps/rejected': '-56.58', 'logits/chosen': '-105.6', 'logits/rejected': '-96.58', 'epoch': '0.5891'}
{'loss': '0.1476', 'grad_norm': '1.228', 'learning_rate': '2.033e-05', 'rewards/chosen': '0.003541', 'rewards/rejected': '-4.222', 'rewards/accuracies': '0.9375', 'rewards/margins': '4.225', 'logps/chosen': '-12.59', 'logps/rejected': '-55.12', 'logits/chosen': '-105.2', 'logits/rejected': '-95.27', 'epoch': '0.5938'}
{'loss': '0.1554', 'grad_norm': '1.924', 'learning_rate': '2.01e-05', 'rewards/chosen': '-0.0364', 'rewards/rejected': '-3.943', 'rewards/accuracies': '0.9406', 'rewards/margins': '3.906', 'logps/chosen': '-13.01', 'logps/rejected': '-52.38', 'logits/chosen': '-105.8', 'logits/rejected': '-97.38', 'epoch': '0.5986'}
{'loss': '0.1276', 'grad_norm': '1.985', 'learning_rate': '1.986e-05', 'rewards/chosen': '0.05516', 'rewards/rejected': '-4.069', 'rewards/accuracies': '0.9469', 'rewards/margins': '4.124', 'logps/chosen': '-12.18', 'logps/rejected': '-53.68', 'logits/chosen': '-105.7', 'logits/rejected': '-97.69', 'epoch': '0.6033'}
{'loss': '0.1666', 'grad_norm': '0.7649', 'learning_rate': '1.962e-05', 'rewards/chosen': '-0.02985', 'rewards/rejected': '-4.042', 'rewards/accuracies': '0.9438', 'rewards/margins': '4.012', 'logps/chosen': '-12.87', 'logps/rejected': '-53.24', 'logits/chosen': '-104.8', 'logits/rejected': '-97.51', 'epoch': '0.6081'}
{'loss': '0.1392', 'grad_norm': '2.92', 'learning_rate': '1.938e-05', 'rewards/chosen': '0.04678', 'rewards/rejected': '-4.358', 'rewards/accuracies': '0.9344', 'rewards/margins': '4.405', 'logps/chosen': '-12.13', 'logps/rejected': '-56.46', 'logits/chosen': '-104.3', 'logits/rejected': '-95.66', 'epoch': '0.6128'}
{'loss': '0.207', 'grad_norm': '2.789', 'learning_rate': '1.914e-05', 'rewards/chosen': '-0.07767', 'rewards/rejected': '-4.259', 'rewards/accuracies': '0.9344', 'rewards/margins': '4.181', 'logps/chosen': '-13.41', 'logps/rejected': '-55.47', 'logits/chosen': '-105.4', 'logits/rejected': '-97.6', 'epoch': '0.6176'}
{'loss': '0.1953', 'grad_norm': '4.635', 'learning_rate': '1.891e-05', 'rewards/chosen': '-0.05928', 'rewards/rejected': '-4.058', 'rewards/accuracies': '0.9312', 'rewards/margins': '3.999', 'logps/chosen': '-13.29', 'logps/rejected': '-53.54', 'logits/chosen': '-103.5', 'logits/rejected': '-95.28', 'epoch': '0.6223'}
{'loss': '0.1609', 'grad_norm': '2.164', 'learning_rate': '1.867e-05', 'rewards/chosen': '-0.09547', 'rewards/rejected': '-3.802', 'rewards/accuracies': '0.9344', 'rewards/margins': '3.707', 'logps/chosen': '-13.73', 'logps/rejected': '-51.03', 'logits/chosen': '-103.2', 'logits/rejected': '-95.79', 'epoch': '0.6271'}
{'loss': '0.2009', 'grad_norm': '2.838', 'learning_rate': '1.843e-05', 'rewards/chosen': '-0.1173', 'rewards/rejected': '-3.891', 'rewards/accuracies': '0.9281', 'rewards/margins': '3.774', 'logps/chosen': '-13.82', 'logps/rejected': '-51.87', 'logits/chosen': '-102.9', 'logits/rejected': '-95.59', 'epoch': '0.6318'}
{'loss': '0.161', 'grad_norm': '2.744', 'learning_rate': '1.819e-05', 'rewards/chosen': '-0.1179', 'rewards/rejected': '-3.919', 'rewards/accuracies': '0.9438', 'rewards/margins': '3.801', 'logps/chosen': '-13.92', 'logps/rejected': '-52.13', 'logits/chosen': '-103', 'logits/rejected': '-96.36', 'epoch': '0.6366'}
{'loss': '0.1573', 'grad_norm': '1.745', 'learning_rate': '1.796e-05', 'rewards/chosen': '-0.09223', 'rewards/rejected': '-4.059', 'rewards/accuracies': '0.9312', 'rewards/margins': '3.967', 'logps/chosen': '-13.57', 'logps/rejected': '-53.51', 'logits/chosen': '-102.7', 'logits/rejected': '-95.99', 'epoch': '0.6413'}
{'loss': '0.1433', 'grad_norm': '4.1', 'learning_rate': '1.772e-05', 'rewards/chosen': '-0.06738', 'rewards/rejected': '-4.286', 'rewards/accuracies': '0.9563', 'rewards/margins': '4.219', 'logps/chosen': '-13.34', 'logps/rejected': '-55.85', 'logits/chosen': '-102.8', 'logits/rejected': '-94.91', 'epoch': '0.6461'}
{'loss': '0.1249', 'grad_norm': '2.179', 'learning_rate': '1.748e-05', 'rewards/chosen': '-0.01437', 'rewards/rejected': '-4.62', 'rewards/accuracies': '0.9531', 'rewards/margins': '4.606', 'logps/chosen': '-12.66', 'logps/rejected': '-59.04', 'logits/chosen': '-101.9', 'logits/rejected': '-93.53', 'epoch': '0.6508'}
{'loss': '0.1855', 'grad_norm': '2.183', 'learning_rate': '1.724e-05', 'rewards/chosen': '-0.04474', 'rewards/rejected': '-4.561', 'rewards/accuracies': '0.9375', 'rewards/margins': '4.516', 'logps/chosen': '-13.12', 'logps/rejected': '-58.57', 'logits/chosen': '-103.3', 'logits/rejected': '-95.26', 'epoch': '0.6556'}
{'loss': '0.08936', 'grad_norm': '0.3614', 'learning_rate': '1.701e-05', 'rewards/chosen': '0.06459', 'rewards/rejected': '-4.656', 'rewards/accuracies': '0.9625', 'rewards/margins': '4.72', 'logps/chosen': '-12.08', 'logps/rejected': '-59.58', 'logits/chosen': '-104.5', 'logits/rejected': '-96.8', 'epoch': '0.6603'}
{'loss': '0.1454', 'grad_norm': '1.209', 'learning_rate': '1.677e-05', 'rewards/chosen': '0.02135', 'rewards/rejected': '-4.836', 'rewards/accuracies': '0.95', 'rewards/margins': '4.857', 'logps/chosen': '-12.51', 'logps/rejected': '-61.4', 'logits/chosen': '-104.2', 'logits/rejected': '-95.85', 'epoch': '0.6651'}
{'loss': '0.1229', 'grad_norm': '1.946', 'learning_rate': '1.653e-05', 'rewards/chosen': '-0.001416', 'rewards/rejected': '-4.765', 'rewards/accuracies': '0.9531', 'rewards/margins': '4.764', 'logps/chosen': '-12.62', 'logps/rejected': '-60.62', 'logits/chosen': '-104.4', 'logits/rejected': '-96.55', 'epoch': '0.6698'}
{'loss': '0.2182', 'grad_norm': '5.829', 'learning_rate': '1.629e-05', 'rewards/chosen': '-0.132', 'rewards/rejected': '-4.608', 'rewards/accuracies': '0.9219', 'rewards/margins': '4.476', 'logps/chosen': '-13.95', 'logps/rejected': '-58.98', 'logits/chosen': '-104.5', 'logits/rejected': '-97.12', 'epoch': '0.6746'}
{'loss': '0.1465', 'grad_norm': '2.654', 'learning_rate': '1.606e-05', 'rewards/chosen': '-0.1326', 'rewards/rejected': '-4.404', 'rewards/accuracies': '0.9375', 'rewards/margins': '4.271', 'logps/chosen': '-14.05', 'logps/rejected': '-57.07', 'logits/chosen': '-104.7', 'logits/rejected': '-97.47', 'epoch': '0.6793'}
{'loss': '0.1648', 'grad_norm': '1.898', 'learning_rate': '1.582e-05', 'rewards/chosen': '-0.1512', 'rewards/rejected': '-4.421', 'rewards/accuracies': '0.9344', 'rewards/margins': '4.27', 'logps/chosen': '-14.17', 'logps/rejected': '-57.1', 'logits/chosen': '-105.2', 'logits/rejected': '-97.44', 'epoch': '0.6841'}
{'loss': '0.1477', 'grad_norm': '1.511', 'learning_rate': '1.558e-05', 'rewards/chosen': '-0.1538', 'rewards/rejected': '-4.405', 'rewards/accuracies': '0.9438', 'rewards/margins': '4.252', 'logps/chosen': '-14.26', 'logps/rejected': '-57.04', 'logits/chosen': '-104.8', 'logits/rejected': '-97.73', 'epoch': '0.6888'}
{'loss': '0.1967', 'grad_norm': '3.447', 'learning_rate': '1.534e-05', 'rewards/chosen': '-0.2614', 'rewards/rejected': '-4.132', 'rewards/accuracies': '0.9094', 'rewards/margins': '3.871', 'logps/chosen': '-15.22', 'logps/rejected': '-54.18', 'logits/chosen': '-104.5', 'logits/rejected': '-98.23', 'epoch': '0.6936'}
{'loss': '0.1652', 'grad_norm': '2.309', 'learning_rate': '1.511e-05', 'rewards/chosen': '-0.1953', 'rewards/rejected': '-4.344', 'rewards/accuracies': '0.9375', 'rewards/margins': '4.149', 'logps/chosen': '-14.62', 'logps/rejected': '-56.44', 'logits/chosen': '-104.9', 'logits/rejected': '-98.02', 'epoch': '0.6983'}
{'loss': '0.1628', 'grad_norm': '2.367', 'learning_rate': '1.487e-05', 'rewards/chosen': '-0.1689', 'rewards/rejected': '-4.396', 'rewards/accuracies': '0.9469', 'rewards/margins': '4.227', 'logps/chosen': '-14.24', 'logps/rejected': '-56.74', 'logits/chosen': '-105.7', 'logits/rejected': '-98.51', 'epoch': '0.7031'}
{'loss': '0.1411', 'grad_norm': '0.7244', 'learning_rate': '1.463e-05', 'rewards/chosen': '-0.09483', 'rewards/rejected': '-4.693', 'rewards/accuracies': '0.9531', 'rewards/margins': '4.598', 'logps/chosen': '-13.63', 'logps/rejected': '-59.91', 'logits/chosen': '-104.4', 'logits/rejected': '-96.78', 'epoch': '0.7078'}
{'loss': '0.1847', 'grad_norm': '5.934', 'learning_rate': '1.439e-05', 'rewards/chosen': '-0.1964', 'rewards/rejected': '-4.429', 'rewards/accuracies': '0.9344', 'rewards/margins': '4.233', 'logps/chosen': '-14.55', 'logps/rejected': '-57.14', 'logits/chosen': '-104.2', 'logits/rejected': '-97.73', 'epoch': '0.7126'}
{'loss': '0.1638', 'grad_norm': '2.504', 'learning_rate': '1.416e-05', 'rewards/chosen': '-0.1916', 'rewards/rejected': '-4.421', 'rewards/accuracies': '0.9375', 'rewards/margins': '4.229', 'logps/chosen': '-14.52', 'logps/rejected': '-57.1', 'logits/chosen': '-103.8', 'logits/rejected': '-97.74', 'epoch': '0.7173'}
{'loss': '0.1114', 'grad_norm': '2.983', 'learning_rate': '1.392e-05', 'rewards/chosen': '-0.05962', 'rewards/rejected': '-4.677', 'rewards/accuracies': '0.9594', 'rewards/margins': '4.618', 'logps/chosen': '-13.27', 'logps/rejected': '-59.76', 'logits/chosen': '-105.6', 'logits/rejected': '-97.93', 'epoch': '0.7221'}
{'loss': '0.1427', 'grad_norm': '3.09', 'learning_rate': '1.368e-05', 'rewards/chosen': '-0.1277', 'rewards/rejected': '-4.853', 'rewards/accuracies': '0.9531', 'rewards/margins': '4.725', 'logps/chosen': '-14.08', 'logps/rejected': '-61.61', 'logits/chosen': '-105.4', 'logits/rejected': '-96.6', 'epoch': '0.7268'}
{'loss': '0.1267', 'grad_norm': '2.003', 'learning_rate': '1.344e-05', 'rewards/chosen': '-0.0588', 'rewards/rejected': '-4.923', 'rewards/accuracies': '0.9594', 'rewards/margins': '4.864', 'logps/chosen': '-13.27', 'logps/rejected': '-62.2', 'logits/chosen': '-106.3', 'logits/rejected': '-98.38', 'epoch': '0.7316'}
{'loss': '0.1128', 'grad_norm': '1.336', 'learning_rate': '1.321e-05', 'rewards/chosen': '-0.07694', 'rewards/rejected': '-4.791', 'rewards/accuracies': '0.95', 'rewards/margins': '4.714', 'logps/chosen': '-13.55', 'logps/rejected': '-60.94', 'logits/chosen': '-108', 'logits/rejected': '-99.95', 'epoch': '0.7363'}
